"order_id","person_id","order_date","status","total_amount","currency","payment_method","shipping_method","notes"
1,2477,"2022-12-31","Delivered",521.95,"GBP","klarna","fedex",""
2,62,"2024-10-02","Shipped",786.99,"USD","google_pay","pickup_point",""
3,1478,"2024-04-03","Returned",844.95,"GBP","debit_card","economy",""
4,4655,"2024-12-11","Returned",422.99,"GBP","credit_card","ups",""
5,4609,"2024-05-16","Cancelled",1357.95,"EUR","debit_card","standard",""
6,945,"2025-12-30","Refunded",1297.95,"GBP","credit_card","economy",""
7,2418,"2024-11-04","Cancelled",69.99,"USD","google_pay","ups",""
8,146,"2024-02-29","Pending",435.95,"USD","credit_card","standard",""
9,9677,"2022-12-28","Refunded",826.95,"GBP","google_pay","standard",""
10,2118,"2025-02-12","Refunded",790.95,"EUR","credit_card","express",""
11,5588,"2022-02-27","Cancelled",223.95,"USD","bank_transfer","economy",""
12,8475,"2022-04-05","Delivered",425.99,"USD","debit_card","overnight",""
13,6119,"2023-08-02","Refunded",1170.95,"USD","bank_transfer","fedex",""
14,7972,"2024-03-11","Delivered",769.99,"GBP","paypal","pickup_point",""
15,676,"2024-01-15","Refunded",668.99,"GBP","google_pay","ups",""
16,1955,"2022-08-07","Cancelled",179.99,"USD","paypal","pickup_point",""
17,6576,"2021-04-29","Cancelled",1130.99,"EUR","bank_transfer","ups",""
18,8299,"2022-01-29","Cancelled",1480.99,"GBP","google_pay","fedex",""
19,3758,"2021-02-15","Shipped",1049.95,"GBP","apple_pay","fedex",""
20,397,"2023-01-02","Cancelled",1353.99,"USD","google_pay","economy",""
21,5787,"2021-05-11","Cancelled",1466.99,"USD","bank_transfer","economy",""
22,6799,"2025-07-03","Delivered",1151.99,"USD","debit_card","ups",""
23,6069,"2021-11-18","Returned",1077.95,"USD","klarna","economy",""
24,8809,"2024-07-25","Shipped",49.95,"USD","google_pay","express",""
25,3625,"2025-01-09","Shipped",15.95,"GBP","bank_transfer","economy",""
26,8289,"2023-07-01","Returned",639.99,"EUR","google_pay","express",""
27,9656,"2021-05-29","Pending",1486.95,"USD","paypal","express",""
28,330,"2024-10-06","Processing",378.95,"EUR","credit_card","standard",""
29,1771,"2024-01-13","Shipped",1010.99,"EUR","paypal","overnight",""
30,4064,"2024-01-16","Pending",353.99,"USD","bank_transfer","express",""
31,9919,"2025-05-10","Returned",146.95,"EUR","bank_transfer","ups",""
32,4784,"2024-04-11","Shipped",637.99,"EUR","google_pay","overnight",""
33,2871,"2023-11-12","Refunded",996.95,"USD","apple_pay","overnight",""
34,9774,"2022-09-28","Delivered",729.99,"USD","credit_card","dhl",""
35,7275,"2021-12-27","Returned",606.95,"EUR","klarna","dhl",""
36,7744,"2021-09-24","Processing",1167.99,"USD","credit_card","standard",""
37,6769,"2022-11-19","Shipped",1474.95,"EUR","paypal","dhl",""
38,737,"2021-07-04","Pending",423.95,"GBP","paypal","overnight",""
39,1694,"2024-06-17","Delivered",838.95,"USD","bank_transfer","pickup_point",""
40,1648,"2024-03-01","Pending",78.99,"GBP","apple_pay","economy",""
41,3018,"2022-10-22","Refunded",717.99,"GBP","debit_card","fedex",""
42,8178,"2025-08-25","Processing",156.95,"GBP","apple_pay","dhl",""
43,9419,"2025-01-20","Delivered",76.99,"USD","credit_card","express",""
44,3511,"2023-09-04","Processing",486.99,"EUR","bank_transfer","pickup_point",""
45,1859,"2024-01-13","Pending",859.99,"GBP","debit_card","economy",""
46,9749,"2025-09-22","Shipped",264.95,"EUR","klarna","express",""
47,7030,"2022-11-29","Cancelled",112.95,"USD","bank_transfer","ups",""
48,6328,"2021-02-26","Delivered",1294.95,"EUR","apple_pay","economy",""
49,7492,"2024-03-02","Cancelled",1310.95,"EUR","credit_card","ups",""
50,1578,"2023-10-01","Shipped",404.95,"USD","klarna","ups",""
51,6079,"2022-06-01","Processing",492.95,"USD","debit_card","ups",""
52,8037,"2023-11-24","Refunded",141.99,"USD","apple_pay","express",""
53,5455,"2024-07-21","Processing",1247.95,"EUR","debit_card","dhl",""
54,8660,"2024-06-13","Pending",700.95,"GBP","klarna","fedex",""
55,562,"2021-03-12","Returned",444.95,"GBP","debit_card","ups",""
56,1063,"2021-01-26","Shipped",320.95,"GBP","paypal","overnight",""
57,435,"2022-08-05","Pending",1496.95,"GBP","google_pay","overnight",""
58,250,"2024-02-14","Delivered",1049.95,"USD","google_pay","express",""
59,8888,"2021-06-11","Processing",593.99,"USD","google_pay","economy",""
60,8259,"2025-12-12","Returned",455.95,"USD","bank_transfer","express",""
61,8592,"2022-02-18","Delivered",358.95,"EUR","debit_card","dhl","Signature required"
62,1238,"2022-08-23","Processing",1320.95,"EUR","debit_card","dhl",""
63,3035,"2023-10-08","Cancelled",185.99,"EUR","credit_card","pickup_point",""
64,2389,"2024-01-03","Delivered",1146.95,"USD","credit_card","express",""
65,706,"2024-02-18","Refunded",1465.99,"EUR","paypal","overnight",""
66,2488,"2025-02-25","Refunded",968.95,"USD","google_pay","ups",""
67,5190,"2025-08-23","Refunded",999.99,"EUR","paypal","express",""
68,8512,"2024-08-17","Delivered",1001.95,"GBP","klarna","fedex",""
69,9501,"2025-12-03","Pending",11.95,"EUR","apple_pay","fedex",""
70,4953,"2021-03-14","Delivered",1123.95,"GBP","google_pay","dhl",""
71,4659,"2025-05-04","Refunded",198.95,"USD","credit_card","dhl",""
72,3070,"2024-05-25","Returned",1185.99,"GBP","apple_pay","fedex",""
73,8649,"2025-08-14","Returned",11.99,"GBP","credit_card","economy",""
74,101,"2021-09-23","Delivered",19.95,"USD","apple_pay","express",""
75,7799,"2024-09-09","Refunded",881.99,"USD","google_pay","dhl","Residential address"
76,2182,"2024-04-09","Delivered",1415.95,"EUR","debit_card","ups",""
77,834,"2023-11-14","Delivered",1490.99,"EUR","apple_pay","dhl",""
78,3495,"2024-11-15","Refunded",51.95,"GBP","klarna","pickup_point",""
79,1048,"2022-06-18","Returned",1071.99,"EUR","google_pay","fedex",""
80,5677,"2024-06-28","Cancelled",80.99,"EUR","apple_pay","economy",""
81,5265,"2023-07-30","Refunded",1216.99,"USD","apple_pay","fedex",""
82,8899,"2023-11-27","Pending",1002.99,"USD","debit_card","express",""
83,6095,"2022-05-11","Cancelled",1124.99,"GBP","credit_card","fedex",""
84,1902,"2023-08-20","Returned",340.99,"EUR","debit_card","fedex","Leave with neighbor if not home"
85,4785,"2021-07-27","Cancelled",842.99,"USD","bank_transfer","ups",""
86,6208,"2022-07-14","Delivered",392.99,"USD","apple_pay","overnight",""
87,8780,"2025-01-12","Cancelled",1307.95,"USD","klarna","ups",""
88,442,"2024-06-13","Returned",596.95,"USD","debit_card","fedex",""
89,4399,"2022-03-03","Processing",237.99,"GBP","google_pay","fedex",""
90,2585,"2021-03-02","Refunded",810.99,"GBP","debit_card","express",""
91,4700,"2023-11-07","Shipped",468.99,"EUR","google_pay","overnight",""
92,7033,"2021-08-30","Processing",842.99,"USD","debit_card","economy",""
93,638,"2022-08-16","Shipped",961.99,"USD","paypal","ups",""
94,6959,"2024-01-27","Pending",1164.95,"GBP","credit_card","overnight",""
95,913,"2023-08-09","Returned",867.95,"USD","klarna","standard",""
96,9455,"2021-05-22","Pending",301.95,"USD","google_pay","fedex",""
97,9869,"2025-09-05","Returned",1481.99,"EUR","klarna","dhl",""
98,263,"2021-03-12","Processing",376.99,"USD","paypal","economy",""
99,3812,"2025-02-24","Refunded",858.99,"EUR","debit_card","fedex",""
100,6530,"2024-01-09","Shipped",675.99,"EUR","paypal","pickup_point",""
101,216,"2021-12-19","Cancelled",210.95,"GBP","apple_pay","fedex",""
102,2739,"2023-11-19","Processing",182.99,"USD","bank_transfer","fedex",""
103,5976,"2024-04-30","Delivered",93.99,"USD","google_pay","pickup_point","Please leave at front door"
104,8456,"2023-03-29","Refunded",54.95,"EUR","credit_card","dhl",""
